rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5.0,Five Stars,"Amazon, please buy the show! I'm hooked!",[],B013488XFS,B013488XFS,AGGZ357AO26RQZVRLGU4D4N52DZQ,1440385637000,0,True
5.0,Five Stars,My Kiddos LOVE this show!!,[],B00CB6VTDS,B00CB6VTDS,AGKASBHYZPGTEPO6LWZPVJWB2BVA,1461100610000,0,True
3.0,Some decent moments...but...,"Annabella Sciorra did her character justice with her portrayal of a mentally ill, depressed and traumatized individual who projects much of her inner wounds onto others. The challenges she faces with her father were sensitively portrayed and resonate with understanding and love. The ending really isn't an ending, though and feels like it was abandoned with not enough of a closure but other than that, its a decent movie to sit through if you're the type of person who likes to people-watch or analyze the actions of others. Has an independent-movie feel which is also somewhat comforting.",[],B096Z8Z3R6,B096Z8Z3R6,AG2L7H23R5LLKDKLBEF2Q3L2MVDA,1646271834582,0,True
4.0,"Decent Depiction of Lower-Functioning Autism, However...","...there should be more of a range of characters with high-functioning autism, too. Jack is the closest representation but also falls on the more severe scale, socially. I love that the storyline of some episodes tie in heartwarming, moving moments which depict the struggles often faced by those on the spectrum. This show definitely has a ton of potential and I hope future seasons bring in more diverse and complex characters on the spectrum.",[],B09M14D9FZ,B09M14D9FZ,AG2L7H23R5LLKDKLBEF2Q3L2MVDA,1645937761864,1,False
5.0,What Love Is...,"...isn't always how you expect it to be, but when its there, you know. That is what this movie is all about. Deep struggles within a broken home and a mother with an addiction and a best friend whom nobody else seems to understand but him. There's loss, there's triumph. There's a bit of magic with a psychic neighbor who makes quite an impact on the boy. This is one definitely worth your time.",[],B001H1SVZC,B001H1SVZC,AG2L7H23R5LLKDKLBEF2Q3L2MVDA,1590639227074,0,True
5.0,QUIRKY TURNS TO HEARTSTRINGS,"As you learn about the very unique characters and the values they hold dear, you notice sweet simple things in them that will make you smile. And then as the movie moves deeper, the poetic script of the movie pulls you even deeper, reminding you of memories you might have forgotten as the best movies do. In simple words this movie inspires very deep emotions and just might motivate you to do that thing you've been procrastinating on for too long. The visual play on light and color throughout this film complements its depth. MUST-SEE!!!",[],B06WVW16WY,B06WVW16WY,AG2L7H23R5LLKDKLBEF2Q3L2MVDA,1586999747540,0,True
5.0,Way better than the harsh reviews.,Our family loved the film. We have kids and they thought the movie was so fun.  We liked it too. The reviews were harsh. And honestly I don’t think the previews were great. It’s worth watching.,[],B07RXM26FG,B07RXM26FG,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1569734232700,0,True
5.0,Five Stars,Great film all around. Some films about Jesus can be rough. This is legit.,[],B01BZ4DOGQ,B01BZ4DOGQ,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1493616276000,0,False
5.0,Five Stars,Great movie! My kids are obsessed with HP!,[],B00271DNP4,B00271DNP4,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1530556520803,0,True
5.0,Five Stars,Great movie! My kids are obsessed with HP!,[],B002DQDV6Y,B002DQDV6Y,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1530556502815,0,True
5.0,Five Stars,LOVE this movie! Hits you in the feels!,[],B01LWY8995,B01LWY8995,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1485870227000,0,True
5.0,Five Stars,An amazing LOVE story & documentary!,[],B01MRH2QPD,B01MRH2QPD,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1483450350000,0,True
5.0,Five Stars,LOVED Woodlawn & the story behind it!,[],B01AMUSHAC,B01AMUSHAC,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1476708291000,0,True
5.0,Five Stars,Great Movie!,[],B00OI7J214,B00OI7J214,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1446579637000,0,True
5.0,Five Stars,Great & exciting movie!,[],B016JGYSRY,B016JGYSRY,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1445968640000,0,True
5.0,Super Funny!,Super Funny! Both Jennifer & Jason were fabulous!,[],B0091VXC54,B0091VXC54,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1443550066000,0,True
